Start Time,End Time,Annotations,Type,Index
00:01:22',00:01:31',The performer slowly struggles to lift her head to look towards the audience. Her body slowly shaking with fatigue,Description,"Performance,  David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:01:31',00:01:41',"The performer begins to slowly turn her head to left, eyebrows furrowing, and her face beginning to scrunch together with frustration and fear. ",Description ,"Performance,  David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:01:41',00:01:45',The performer laboriously lifts her arms to the right. Her gaze focused on something beyond her hands ,Description,"Performance.  David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:01:46',00:01:56',The performer begins to reach for something slowly starting with the fingers which then causes her arms and upper body to reach as well. Her look changes to a look of desperation  ,Description,"Performance,  David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:01:56',00:02:11',The fingers begin to curl into relaxed fists and she folds her body back down. She looks defeated by her body which seems to be barely able to keep her standing. ,Description,"Performance,  David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:02:11',00:02:11',The performer's hands are suddenly pulled behind her on the left. She gasps.,Description,"Performance,  David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:02:12,00:02:35,The performer slowly begins to release tension from her arms until they lay down in front of her. Her head and upper body slowly arch back and to the right until she begins to look to the right. She starts to reach to the right again.,Description,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:02:35,00:02:36,The performer's arms are suddenly pulled behind her again to the left. She gasps.,Description,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:02:40,00:02:40,"The performer is pulled back further, straining her left arm straight across her body. She gasps",Description,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:02:43,00:02:43,"The performer's arms are pulled above her head. She gasps. Her body is bent over to the left, still slowly shaking with fatigue",Description,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:02:44,00:02:52,"The performer makes guteral sounds deep within her throat, attempting to speak but is unable to communitcate any words",Description,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:02:55,00:02:55,"The performer's arms are dropped. The raspy voiced older gentlemen begins to speak again ""I never understood how they could teach us about Jesus and then refuse to let us love.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:02:57,00:03:09,"The perfomer gradually folds her body forward again. The voice sayis ""But on that man's plantation, slaves was forbidden to marry""",Description,"Performance, Recorded Text,  David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:10,00:03:11,"The performer's hands are quickly pulled towards her stomach. The voice says ""But I loved...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:12,00:03:12,"The performer arms tense quickly to her chest, the muscles of her shoulders are tensed up towards her ears. The voice says ""... Jesse with all my heart...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:13,00:03:13,"The performer chest pushes towards the ceiling, releasing her head back, keeping her hands near her chest. The voice says, ""... and I wanted to hold her forever.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:15,00:03:24,"The tension from the performer's arms and shoulders slowly releases. The voice says ""So while his family was away at church...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:24,00:03:26,"The performers begins to lean her body towards stage right, head arching up and over towards the right. The voice says ""...all the slaves snuck out behind the last...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:27,00:03:39,"The performer's hands drop down and she begins to slowly fold forward again. The voice says ""...field of corn. Oh, we put a broom on the ground. And while everybody was singing and clapping and dancing.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:39,00:03:44,"The performer begins to gather the bottom of her dress together. The voice says, ""and jumped over that broom."" It is revealed that chains shackle her ankles together.",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:44,00:03:57,"The performer begins to roll her spine up until her head is released back, holding onto the above her knees. The voice says, ""then Jesse, she looked into my eyes and said 'I love you and now forever I am your wife'""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:03:57,00:04:09,"The performer drops the fabric and begins to slowly hunch forward. She looks towards the audience, eyebrows furrowed with frustation. The voiced continues with a small laugh saying ""and you know what, that was the only time in my life, I knowed how it felt to be a full human being.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:04:09,00:04:33,"The performer's hands begin to shake in small rapid movements. The shake then begins in her arms and head, then in her whole body. The performer begins to gag and grunt.",Description,"Performance, Live Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:04:33,00:05:03,"The performer looks down at the ropes that tie her hands and tries to break them against her legs, hitting her thighs over and over again. She stomps her feet and flips her body up and down. She is yelling in frustration ",Description,"Performance, Live Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:05:04,00:05:23,"The performer stands still, hands held tight near her neck as her fingers strentch up, her eyes looking up. She gasps for air in short breaths and shaking with fatigue. The voice says, ""Didn't take long for him to find out we had married. I come back from the fields on the prettiest summer evening, just dreaming 'bout the time I had soon spend with Jesse. And there she was...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:05:24,00:05:40,"The performer's breath begins to slow, her finger begin to curl into fists as the voice says ""...strung up by her hands with blood rolling down her back, like tears falling down the wrong side of her body. They waited for me to see her. Then they cut Jesse down...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:05:40,00:05:52,"The performer breathing continues to deepen as she hunches over, hands clutched towards her body, looking out towards the audience in desperation as the voice says ""...loaded her into the back of his raggidist wagon and took her off to be sold. I remember Jesse's lips was trembling as she looked into my eyes..."" ",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:05:53,00:05:59,"The performer straightens her arms, and raises her hands across from her face. The voice says, ""and rasied up her arms. Through chains she turned over her hands...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:06:00,00:06:20,"The performer strenches her fingers towards the audience, bending her knees down, struggling to keep her arms up. Her face pleding with the audience in desperation. The voice says, ""... and showed me he palms that would never again stroke my cheeks as if to say that for the rest of time they would surely wish that they could. I watched my whole life pull off and disappear in the back of that wagon..."" ",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:06:20,00:06:33,"The performer slowly reaches her body to the right. Bending her legs slowly to lower her body closer to the ground. The voice says,""... and all I could think was 'but I just wanted to love her.' I fell to my knees...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:06:33,00:06:44,"The performer drops her hips to the ground then sits down while keeping her hands outstrenched to the right. Focus of her eyes looking out and past her hands. She slowly relaxes her body into the ground. The voice says, ""... and though I have lived for forty more years, I cannot remember if I ever got up again."" ",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:06:45,00:06:56,"The performer slowly reaches her hands to the downstage right corner. Slowly moving past her legs to reach as far as she can without leaving the ground. A new voice of a women with a deeper tone begins to speak, ""Funny how it's the little things we remember about the moments we'd rather forget."" Another light slowly reveals another women laying limp at the right side of the stage. The voice continues, ""I remember a magnificent sun and white steps that glistened like magical porcelain.""",Description,"Performance, Recorded Text, Lighting, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:06:57,00:07:02,"The performer sudders back slightly, as if something pulls her back. She goes back to reaching towards the other women. The voice says ""Maybe I remember these things in order to forget the feeling of my heart being crushed.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:03,00:07:03,The performer has her hand quickly pulled behind her. She bends her body back to the left. She faced turned up ,Description,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:04,00:07:04,The women on the ground wears a brown suit with a black tight shirt. Her feet towards the performer. She is barefoot,Description,"Costume, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:06,00:07:21,"The performer struggles to keep her body sitting up. She shakes slightly with exhaustion. The voice says, ""I loved Katherine with all my heart, and I had never known like running up the steps in front of that court house with my arm around her. She was so excited that when I placed my hand on her chest, next ot that redflower she insisted on wearing...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:21,00:07:24,"The performers hands are suddenly pulled above her head, arms bent so her wrist hover only inches above her head. She continues to struggle in a small rocking motion. The voice says""... I could feel her heart pounding through the faded...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:25,00:07:31,"The performer curls her fingers into her palms and begins to quickly shake her arms with tension. She then relaxes her hand down again. The voice says, ""...lace of her grandmother's wedding dress. We were half way up the stpes when the long line of couples waiting in the sun...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:32,00:07:34,"The performer shifts her weight to the right and look towards the women again. The voice says, ""...began to turn and walk away.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:35,00:07:38,"The performer attempts to raise her arms towards the women. Even though she moves her arms in a way that makes the look heavy. The voice says ""I do not know..."" ",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:39,00:07:41,"The performer swings her arms in a small circles, causing her to fall off balance towards the ground. The voice says, ""...how to describe a look of utter devastation.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:41,00:07:46,"The performer begins to drag her body along the floor towards the women, pulling her body up and over her arms to inch along. The voice says, ""The stoop of the shoulder, the tremble...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:44,00:07:46,"The performer flips over her right shoulder onto her back. The voice says, ""... of the fingers,...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:46,00:07:57,"The performer continues to ove along the ground inching towards the women. The vocie says, ""...the reflection in the eyes of a heart that does not if the next beat is worth taking. But that's what I saw in those couples.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:07:57,00:08:01,"The performer stiffens her torso and curls her head towards her hands. Frustrated by the ropes that contain her. She falls back to the ground. The voice says, ""And right then and there we knew, the weddings had been stopped...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:08:02,00:08:07,"The performer stiffens her torso again, fighting to break against the ropes. Then giving up and fall back down. The voice says, ""...and that ours had once again forbidden.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:08:08,00:08:36,"The performer begins to crawl again. Fliping her body to right then left and pushing her arms against the floor to move her body. Her legs begin to work and she pushes the heels of her feet against the floor. Her voice gasping choking with desperation. The voice says, ""I don't know how long we stood there, unable to move, before Katherine managed to put her head on my shoulder. Then I remember the feel of her tears as they rolled down my breasts, leaving tracks over my heart before they splattered on to those magical steps that no longer wished our feet to be there. Eventually we made it home. We got drunk on a bottle of wine while we listened to Nat King Cole.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:08:38,00:08:49,"The performer final reaches the women and grabs hold on her foot. Breathing heavily her hands move towards her ankle and her face begins to relax. The voice says, ""As I fell asleep in Katherine's arms with her palm stroking my face, I wasn't thinking about the politics of it, or the biology of it, or the right and wrong of it. I was too...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:08:49,00:10:11,"""If Yesterday Could Only Be Tomorrow"" by Nat King Cole Trio begins to play again.",Description,"Recorded Music, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:08:51,00:09:02,"The performer pulls the women closer to her and turns on her stomach. Reaching her hands up along her body, pulling herself along the woman's body. The voice says, ""...crushed for any of that to matter. That night, all I could think was that I justed wanted to love her.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:09:03,00:09:07,"The performer looks at the woman's face, confused and disappointed, her hands rested against the women. The voice says, ""I fell alsee and dreamed about slaves jumping the broom to marry. But I suppose I was really dreaming about...""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:09:08,00:09:13,"The performer places her head gently onto the woman's chest, trying to listen for a heartbeat. The voice says, ""just how far this hatred could go.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:09:14,00:09:25,"The performer lifts her upper body, changing her expression to scared and frantic, gasping for air. She attempts to speak ""I love her""",Description,"Performance, Live Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:09:25,00:09:30,"The performer drags the woman's body closer to her by the woman's arm. Her words riddled with fatigue and desperatation ""I just."" She continues to pull the women saying ""to love her""",Description,"Performance, Live Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:09:31,00:09:32,The performer pulls the women on to her lap. The woman's head hanging heavy over the performer's legs,Description,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:09:32,00:09:48,"The performer brings the woman's hand to her cheek and begins to force her head up and down the woman's hand. Mimicking a stroking motion against her cheek. She says ""I just wanted to love her, I just wanted to love her, I just wanted to love her.""",Description,"Performance, Live Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:09:48,00:09:48,The spotlight around the performer and the woman fades to black,Description,"Lighting, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:09:48,00:10:11,Applause,Description,"Live Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:10:06,00:10:11,"Program text appears on the recording of performance, ""Jumping the Broom (2005). Choreography by David Rousseve. Text by David Rousseve. Music by Nat King Cole Trio ""If Yesterday Could Only Be Tomorrow."" Recorded voices include David Rousseve and Gesel Mason. Lighting Desing by Cheles Rhynes. Performed by Gesel Mason""",Transcript,"Program Information, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
