Start Time,End Time,Annotations,Type,Index
00:02:09,00:02:10,There's always bourbon at [inaudible 00:02:10] house.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2072"
00:02:13,00:02:13,Yeah. Well it's funny 'cause I always-,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2073"
00:02:13,00:02:13,"This wasn't here before, is this a new couch?",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2074"
00:02:13,00:02:14,"No, this was here.",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2075"
00:02:14,00:02:15,Was this here last time I was here?,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2076"
00:02:14,00:02:15,It might have been [inaudible 00:02:16].,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2077"
00:02:16,00:02:17,It may have been a little configured.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2078"
00:02:18,00:02:19,Why thank you [crosstalk 00:02:19].,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2079"
00:02:19,00:02:23,"I got you a glass to match your hat, it really set up.",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2080"
00:02:23,00:02:23,"Okay, hold this up here.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2081"
00:02:24,00:02:27,"With the pinky up? Dave, do you want some bourbon, or do [inaudible 00:02:27] working it?",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2082"
00:02:33,00:02:33,I'm gonna work on it for now.,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2083"
00:02:33,00:02:33,"Oh, yes. There we go.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2084"
00:02:33,00:02:33,I should probably [crosstalk 00:02:33].,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2085"
00:02:33,00:02:36,See? Ha. All you just need to just exhale.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2086"
00:02:35,00:02:36,It puts that hair on your chest.,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2087"
00:02:40,00:02:46,"You're looking good Rennie, you're looking good.",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2088"
00:02:49,00:02:52,"He does look good. [inaudible 00:02:50] can't help himself, he has it.",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2089"
00:02:52,00:02:53,[crosstalk 00:02:53] doesn't want to know-,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2090"
00:02:52,00:02:53,[crosstalk 00:02:54] that's basically a hot and [stick 00:02:54] there.,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2091"
00:02:52,00:02:53,I know! This is [inaudible 00:02:56].,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2092"
00:02:52,00:02:53,"... Yeah, and plus I'm flying, so I always try drinking the week that I fly.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2093"
00:02:52,00:02:53,"The week, the week.",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2094"
00:03:05,00:03:17,"Yeah, if I'm flying, I just get in the mood. 'Cause if I don't start drinking, if I drink like straight up, then it's-",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2095"
00:03:17,00:03:17,Then you-,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2096"
00:03:17,00:03:20,"... Yeah, it's like a shock to me, like awuhrr.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2097"
00:03:20,00:03:21,... It don't work.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2098"
00:03:21,00:03:29,"So, so then I go dry. On Friday I'll be dry. I'm gonna text you guys with like, ""How dry I am!""",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2099"
00:03:29,00:03:33,"We'll be like, ""Cheers! Cheers from heres!""",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2100"
00:03:32,00:03:33,Oh [crosstalk 00:03:33].,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2101"
00:03:32,00:03:43,"She has, but here's the funniest stuff about it, I love [inaudible 00:03:35]. She's like, ""Yeah, I think I ... "" she's like, ""I think I'm gonna have some wine tonight."" And it fucks me up every time ... Oh, your kid's not here, right?",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2102"
00:03:43,00:03:44,"No, [inaudible 00:03:44].",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2103"
00:03:43,00:03:52,"Okay. So certainly it fucks me up every time, because I'm like this, I'm like, ""Oh, we're going to have some wine?"" I go like, ""Oh, you started drinking?"" And she's like, ""Oh no, my fake wine.""",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2104"
00:03:52,00:03:53,Oh my fake?,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2105"
00:03:53,00:03:54,What's her fake wine?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2106"
00:03:54,00:03:54,My fake wine.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2107"
00:03:54,00:03:54,Grape juice?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2108"
00:03:55,00:03:59,"They have a fake ... like non-alcoholic, but without no, no, no, not even the 1%, 2% alcohol in it.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2109"
00:03:59,00:04:02,What's the point of that? Calories.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2110"
00:04:02,00:04:02,"I know, right?",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2111"
00:04:02,00:04:07,"Yeah. And I have to say, though, it does taste like a ... You can trick yourself, like-",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2112"
00:04:07,00:04:08,But it tastes like wine.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2113"
00:04:07,00:04:08,... it's ... yeah.,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2114"
00:04:08,00:04:10,"I know, but you're right. Like why?",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2115"
00:04:10,00:04:10,What's the point of-,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2116"
00:04:11,00:04:12,It's like non-alcoholic beer.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2117"
00:04:12,00:04:13,"Yeah, but wine tastes gross.",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2118"
00:04:16,00:04:17,"Yeah, yeah, well red-",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2119"
00:04:16,00:04:17,"I like wine, but-",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2120"
00:04:16,00:04:17,"I like wine, but not enough to have-",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2121"
00:04:17,00:04:18,... To have the calories [crosstalk 00:04:18] but I'm going to drink a Coke if I'm going to-,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2122"
00:04:20,00:04:23,Now the non-alcoholic beer I like because it actually tastes-,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2123"
00:04:23,00:04:24,... Like beer.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2124"
00:04:24,00:04:25,".. beer, like beer. Yeah.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2125"
00:04:25,00:04:27,"... See, and I feel the same way about beer.",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2126"
00:04:26,00:04:27,I feel bloated after that.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2127"
00:04:26,00:04:30,I'd rather have ... The good beer that I like is non-alcoholic.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2128"
00:04:30,00:04:32,"Yeah, beer doesn't do my belly right.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2129"
00:04:32,00:04:33,"I don't dislike beer, just [crosstalk 00:04:33].",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2130"
00:04:32,00:04:37,"Me either. It makes my ears ... my ear turns red, my left elbow itches, and I'm like-",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2131"
00:04:38,00:04:38,Really?,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2132"
00:04:38,00:04:38,... Yes.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2133"
00:04:38,00:04:39,When you drink beer?,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2134"
00:04:39,00:04:44,"It's like, I don't know what it is. I don't have a wheat allergy, but beer like ... kicks-",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2135"
00:04:43,00:04:45,That sounds like a Vaudeville show.,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2136"
00:04:45,00:04:45,... Yeah.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2137"
00:04:45,00:04:47,Weird. And that doesn't happen with any other alcohol?,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2138"
00:04:48,00:04:50,Mm-mm (negative). Red wine sometimes.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2139"
00:04:50,00:04:52,Is it a sulfite with beer?,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2140"
00:04:51,00:04:54,"That's what I'm wondering, it must be something like that. I've got a bunch of ice cubes-",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2141"
00:04:54,00:04:55,Some people are allergic to this.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2142"
00:04:55,00:04:56,... [crosstalk 00:04:55]. Do you guys mind me being in here?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2143"
00:04:56,00:04:56,"No, not at all.",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2144"
00:04:56,00:04:56,[crosstalk 00:04:56]?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2145"
00:04:56,00:05:00,I think we're good to go.,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2146"
00:05:00,00:05:02,"If you're going to throw in a question, just-",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2147"
00:05:02,00:05:03,Yell it from over here?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2148"
00:05:03,00:05:07,"... [crosstalk 00:05:03] ... Yeah. ""So Rennie! I was wondering ... """,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2149"
00:05:07,00:05:10,"You can't see this here [inaudible 00:05:08], this is on the back table.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2150"
00:05:10,00:05:11,It's behind you. Is it [inaudible 00:05:11]?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2151"
00:05:14,00:05:16,I shouldn't because-,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2152"
00:05:16,00:05:28,"Well what's funny, like the way I've been shooting these, a lot of them had been in peoples' houses, so it's kind of funny that I'm in your house, 'cause it's not like reading, like it's ... Rennie's got ... I'm glad you have on the Philly hat representing-",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2153"
00:05:28,00:05:29,"Dude, you have a fly house.",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2154"
00:05:30,00:05:32,"Word. Word! Look, look, look-",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2155"
00:05:32,00:05:32,I love Rennie's house [crosstalk 00:05:33].,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2156"
00:05:33,00:05:33,"... Cribs, Cribs.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2157"
00:05:34,00:05:34,Cribs!,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2158"
00:05:36,00:05:44,"Pimp My House! Pimp around my ... Yeah, what's up. I love these couches. So this is '70s right here?",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2159"
00:05:44,00:05:44,It's '60s.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2160"
00:05:44,00:05:45,60s?,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2161"
00:05:45,00:05:46,Probably late.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2162"
00:05:46,00:05:48,I had one in [crosstalk 00:05:48] my house awhile ago.,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2163"
00:05:48,00:05:50,The white arms will be the [soles 00:05:50].,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2164"
00:05:49,00:05:51,Cause I feel like I'm supported.,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2165"
00:05:52,00:05:52,Yeah.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2166"
00:05:52,00:05:53,The other one's just like ...,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2167"
00:05:52,00:05:54,"Whoop, super sinky sofa.",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2168"
00:05:55,00:05:55,Yeah.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2169"
00:05:55,00:05:59,"We decided that we had to have a couch that had arms that functioned as seats for extra, like-",Speaker 5,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2170"
00:05:59,00:05:59,Yeah.,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2171"
00:05:59,00:05:59,Yeah-,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2172"
00:06:00,00:06:01,Just like at a party-,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2173"
00:06:00,00:06:01,"... you can sit there, right.",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2174"
00:06:01,00:06:01,... when you run out of seats.,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2175"
00:06:01,00:06:01,Right.,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2176"
00:06:01,00:06:01,Yeah.,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2177"
00:06:01,00:06:01,No one seems to have them.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2178"
00:06:01,00:06:02,All right. ,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2179"
00:06:05,00:06:05,Cool.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2180"
00:06:06,00:06:08,We're pretty much good to go here.,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2181"
00:06:08,00:06:22,"Great, I'll just start talking. Rennie, can you tell me a little bit about Rennie Harris Puremovement, like how long it's been, why you made it, how it came to be?",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2182"
